id,url,size,price,obcina
6988009,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_6988009/,15,160.00 EUR,Ajdovščina
7013578,https://www.nepremicnine.net/oglasi-oddaja/ig-stanovanje_7013578/,20,360.00 EUR,Ig
7035783,https://www.nepremicnine.net/oglasi-oddaja/koper-semedela-stanovanje_7035783/,10,250.00 EUR,Koper
6794795,https://www.nepremicnine.net/oglasi-oddaja/kranj-stanovanje_6794795/,16,400.00 EUR,Kranj
7041652,https://www.nepremicnine.net/oglasi-oddaja/koroska-vrata-cesta-stanovanje_7041652/,14,250.00 EUR,Maribor
7038368,https://www.nepremicnine.net/oglasi-oddaja/dolgi-most-slovenija-lj-vic-stanovanje_7038368/,12,350.00 EUR,Ljubljana
6885494,https://www.nepremicnine.net/oglasi-oddaja/koseze-stanovanje_6885494/,12,400.00 EUR,Ljubljana
6836249,https://www.nepremicnine.net/oglasi-oddaja/fuzine-stanovanje_6836249/,20,350.00 EUR,Ljubljana
6968781,https://www.nepremicnine.net/oglasi-oddaja/izola-stanovanje_6968781/,10,300.00 EUR,Izola
6476309,https://www.nepremicnine.net/oglasi-oddaja/jesenice-stanovanje_6476309/,16,240.00 EUR,Jesenice
6851362,https://www.nepremicnine.net/oglasi-oddaja/jesenice-center-pri-zelezniski-postaji-stanovanje_6851362/,18,300.00 EUR,Jesenice
7039179,https://www.nepremicnine.net/oglasi-oddaja/dolgi-most-stanovanje_7039179/,20,360.00 EUR,Ljubljana
6910604,https://www.nepremicnine.net/oglasi-oddaja/izlake-stanovanje_6910604/,25,250.00 EUR,Zagorje ob Savi
6987197,https://www.nepremicnine.net/oglasi-oddaja/kalce-naklo-stanovanje_6987197/,60,100.00 EUR,Krško
6885226,https://www.nepremicnine.net/oglasi-oddaja/galjevica-soba-jurckova-cesta-stanovanje_6885226/,10,300.00 EUR,Ljubljana
